ParName   Value   Gradient
log_fdev[4](4)    -0.207445   -0.0109157
log_fdev[4](5)      1.13249   -0.0214372
log_fdev[4](6)      1.73699   0.00395748
log_fdev[4](7)      1.65049    0.0115395
log_foff[1]     -1.91592     -4.07694
log_foff[3]     0.771573    -0.183003
log_fdov[1](1)       2.0258     -0.11046
log_fdov[1](2)     0.325732     -0.28445
log_fdov[1](3)      2.29402    -0.260613
log_fdov[1](4)      2.08852    -0.316801
log_fdov[1](5)     -2.69592    -0.290724
log_fdov[1](6)    -0.894902    -0.353745
log_fdov[1](7)      2.21282    -0.213731
log_fdov[1](8)     -2.17186    -0.316549
log_fdov[1](9)     0.158968    -0.146877
log_fdov[1](10)      1.07546    -0.211009
log_fdov[1](11)     -1.79923    -0.184622
log_fdov[1](12)      1.35177    -0.172186
log_fdov[1](13)     0.761893     -0.13953
log_fdov[1](14)      1.02141    -0.100842
log_fdov[1](15)    -0.930509    -0.141224
log_fdov[1](16)    -0.093317    -0.031184
log_fdov[1](17)     -0.41196   -0.0985599
log_fdov[1](18)    -0.889195   -0.0816189
log_fdov[1](19)    -0.478445    -0.125558
log_fdov[1](20)     -1.28635     -0.09612
log_fdov[1](21)     -1.86058   -0.0883655
log_fdov[1](22)    0.0735304    -0.051162
log_fdov[1](23)    -0.529726   -0.0988374
log_fdov[1](24)     0.652197   -0.0564787
log_fdov[3](1)    0.0598924    -0.112226
log_fdov[3](2)    0.0192564    0.0725714
log_fdov[3](3)   -0.0497063    -0.191857
log_fdov[3](4)    -0.164094   -0.0105547
log_fdov[3](5)    -0.433914     0.103654
log_fdov[3](6)    -0.416626  -0.00115704
log_fdov[3](7)     0.115318     0.114957
log_fdov[3](8)     0.628052   -0.0373249
log_fdov[3](9)     0.835968   -0.0252426
log_fdov[3](10)     0.315799    0.0263924
log_fdov[3](11)     0.167538    -0.016053
log_fdov[3](12)     0.129298   0.00213946
log_fdov[3](13)     0.121154  -0.00499668
log_fdov[3](14)     0.151367   -0.0835986
log_fdov[3](15)     0.259218   -0.0261458
log_fdov[3](16)     0.305281    0.0111275
log_fdov[3](17)     0.327872   -0.0739007
log_fdov[3](18)    -0.239806   -0.0816932
log_fdov[3](19)    -0.255278   -0.0368206
log_fdov[3](20)     -0.29845   -0.0141888
log_fdov[3](21)    -0.322318   -0.0690654
log_fdov[3](22)    -0.400015    0.0130909
log_fdov[3](23)    -0.408037    0.0158091
log_fdov[3](24)    -0.448221    -0.135201
rec_dev(1975)      1.21925      0.66989
rec_dev(1976)      1.06993      1.89536
rec_dev(1977)      1.28637      1.41864
rec_dev(1978)      1.85991      2.05262
rec_dev(1979)      1.82404      2.84897
rec_dev(1980)       1.5389      3.53847
rec_dev(1981)      2.63725        3.349
rec_dev(1982)      1.74456       1.9541
rec_dev(1983)      1.64958     -3.05404
rec_dev(1984)     -0.52493     0.997423
rec_dev(1985)     0.896342     -10.8628
rec_dev(1986)    -0.953526    -0.904634
rec_dev(1987)     -1.24515      -2.1543
rec_dev(1988)     0.230761     -6.88953
rec_dev(1989)     0.333313     -10.7919
rec_dev(1990)    0.0144882      -1.3809
rec_dev(1991)     -1.84835      2.41357
rec_dev(1992)    -0.370532     0.527092
rec_dev(1993)     -1.72566      2.37059
rec_dev(1994)      1.16036     -7.52054
rec_dev(1995)     -1.96014      2.79325
rec_dev(1996)     -1.37129       3.3912
rec_dev(1997)   -0.0043215      3.00808
rec_dev(1998)     0.843403      3.56189
rec_dev(1999)    -0.525166      2.87691
rec_dev(2000)    -0.139664     0.966406
rec_dev(2001)      1.07374     -4.09108
rec_dev(2002)    -0.921091      1.88191
rec_dev(2003)    -0.301268   -0.0499269
rec_dev(2004)       1.0252     -7.84171
rec_dev(2005)    -0.199706     -1.24576
rec_dev(2006)    0.0668653     -3.41918
rec_dev(2007)     -1.05047    0.0409535
rec_dev(2008)    -0.289261     0.226038
rec_dev(2009)     0.519419     -2.69051
rec_dev(2010)    -0.331873      1.40715
rec_dev(2011)    -0.491702      2.17219
rec_dev(2012)    -0.887759      2.98641
rec_dev(2013)     -1.97334      2.96626
rec_dev(2014)     -1.15611      3.11495
rec_dev(2015)     -1.48184      2.97837
rec_dev(2016)     -1.24054      2.91485
logit_rec_prop(1975)     -3.50447    -0.961629
logit_rec_prop(1976)     -1.58969     -24.6529
logit_rec_prop(1977)    -0.917995     -31.5172
logit_rec_prop(1978)     -1.04757     -26.8294
logit_rec_prop(1979)    -0.701765     -10.2152
logit_rec_prop(1980)     0.375636     -5.86257
logit_rec_prop(1981)   -0.0117961      3.46817
logit_rec_prop(1982)    -0.310994      6.62499
logit_rec_prop(1983)    -0.616456      5.35612
logit_rec_prop(1984)      0.27658      1.89986
logit_rec_prop(1985)    -0.746429      5.01115
logit_rec_prop(1986)    0.0803773     -5.83364
logit_rec_prop(1987)    -0.026452     -6.12607
logit_rec_prop(1988)  0.000502208      39.5486
logit_rec_prop(1989)     0.363771     -24.8414
logit_rec_prop(1990)    -0.136662      29.1747
logit_rec_prop(1991)     0.598117      1.14672
logit_rec_prop(1992)     0.116836      11.7485
logit_rec_prop(1993)     0.472709      4.15187
logit_rec_prop(1994)    -0.138508      75.1101
logit_rec_prop(1995)      1.12243      3.34882
logit_rec_prop(1996)      1.17739      3.58312
logit_rec_prop(1997)     0.571398      17.8858
logit_rec_prop(1998)     0.358378      42.8621
logit_rec_prop(1999)     0.191967       10.734
logit_rec_prop(2000)    -0.641206      5.96425
logit_rec_prop(2001)   -0.0915395      17.8981
logit_rec_prop(2002)     0.362403    -0.294878
logit_rec_prop(2003)     0.440701     -6.16141
logit_rec_prop(2004)    -0.167552     -19.2746
logit_rec_prop(2005)     0.543279     -15.3009
logit_rec_prop(2006)     0.312012     -29.7728
logit_rec_prop(2007)      1.56016      -11.309
logit_rec_prop(2008)    -0.573269     -15.9044
logit_rec_prop(2009)    -0.391125     -33.6403
logit_rec_prop(2010)     0.616655     -8.65777
logit_rec_prop(2011)  -0.00369934     -2.99036
logit_rec_prop(2012)     0.466282    -0.334426
logit_rec_prop(2013)     0.610268     -1.68439
logit_rec_prop(2014)    0.0387411        -1.06
logit_rec_prop(2015)     0.487294     -1.84882
logit_rec_prop(2016)     0.473297     -1.42901
m_dev(1)       1.4752      4.53709
m_dev(2)      -1.4752     -4.53369
m_dev_females(1)     0.870333      5.53742
m_dev_females(2)      1.00595      5.36627
m_dev_females(3)     -1.40588      4.04508
m_dev_females(4)    -0.470402     -16.5454
survey_q[1]      0.96775  -0.00482718
