SURVEY_YEAR,HAULJOIN,CRUISE,VESSEL,HAUL,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,NET_WIDTH,DISTANCE_FISHED,STRATUM_NAME,TOTAL_AREA,TOWS_IN_STRATUM,TOW_CODE,DISTRICT_ID,DISTRICT_CODE,SPECIES_ID,SPECIES_CODE,SPECIES_NAME,SGD_ID,SIZE_CATEGORY,SIZE_GROUP,CRAB_NUM,CRAB_GM,CRAB_MT,CRAB_LBS,CRAB_CPUENUM,CRAB_CPUEWGT_MT,CRAB_CPUEWGT_LBS,LOAD_DATE
2013,-10218,201301,162,159,60.12606,-173.76639,QP2625,17.653,2.099,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,772.249699610146009778030697659880905291,.000772249699610146009778030697659880905,1.70251915747646831929862559799297766414,92.5658949380129932396876208462697929276,.071483984560024869125398838086030842603,157.595209460921164890967873005218473474,12-AUG-18
2013,-10217,201301,162,158,60.00554,-173.27098,P-25,16.968,2.837,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,2,1828.18198345944962618770985156654277387,.001828181983459449626187709851566542774,4.03045135759111134966379997365628060805,142.502331007539636820640444718911983523,.130260097074479421953074822137476540021,287.174356734618025833570886743602261017,12-AUG-18
2013,-10216,201301,162,157,59.829,-173.58677,PO2625,17.456,2.867,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,7456.91096929670277723629081346915433916,.007456910969296702777236290813469154339,16.4396746120239734341476919068267527843,274.138182561016262117708119313673226284,.511056005160576059221319918780818151299,1126.6856300086830547306544974891307843,12-AUG-18
2013,-10215,201301,162,156,59.65993,-173.87004,O-26,17.781,2.791,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,2,3345.59352607133799762905977148760500659,.003345593526071337997629059771487605007,7.37577117108776479423922123157021075269,138.22797357789892608232647226262301748,.23122730676208930531737693947376108388,509.768951276874085704526187500991067698,12-AUG-18
2013,-10214,201301,162,155,59.49776,-173.50272,ON2625,17.799,2.811,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,8281.52304172616451701986179324563017961,.00828152304172616451701986179324563018,18.2576330411515859396066952577293999935,274.211400424005876036450390210148921856,.567722007728851105266372953674194078219,1251.61278116044442117134686244281069186,12-AUG-18
2013,-10213,201301,162,154,59.33256,-173.79354,N-26,17.838,2.802,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1448.9331851451979674674053183874577832,.001448933185145197967467405318387457783,3.19435087751853909615310787987903030578,68.6226797636860928488999034995569646587,.099429677963196611475616127515185477525,219.204917320804365784852788452901393798,12-AUG-18
2013,-10212,201301,162,153,58.9925,-173.70962,M-26,17.695,2.796,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3,2554.7311112174038242171143259451533702,.00255473111121740382421711432594515337,5.63221800053081108696229022431733896512,207.977083999154748553928905810273638434,.177108508970971982415014898821197455849,390.457425399315967203917074667102791591,12-AUG-18
2013,-10205,201301,89,161,59.83482,-172.24537,PO2423,16.925,2.94,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10204,201301,89,160,59.98886,-172.58311,P-24,15.86,2.93,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,613.415649626744767491401391025245454132,.000613415649626744767491401391025245454,1.35235001776319892440810988829182401096,73.8093126131857751252807520821592125187,.045275787445120838678493427493030959896,99.8160252235312854125169243212645952959,12-AUG-18
2013,-10203,201301,89,159,59.83139,-172.92008,PO2524,16.645,2.887,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1564.47671398127422409100216405245624054,.001564476713981274224091002164052456241,3.44908075499879195966255209483844069535,71.3758643827322661735997321583702493304,.111665877767070045683304597954011279535,246.181120213885588653605773458712527295,12-AUG-18
2013,-10202,201301,89,158,59.68225,-173.24139,O-25,17.49,3.048,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3,4740.11601398273740216297087493552071413,.004740116013982737402162970874935520714,10.4501669946141056529798074264029405614,193.018282397152722417127643980335342012,.304976350460728643516302455894133729534,672.357761354610065909751849158699525893,12-AUG-18
2013,-10201,201301,89,157,59.50137,-172.8854,ON2524,17.971,3.077,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1235.46965008712235900355460466049310305,.001235469650087122359003554604660493103,2.72374433918969121244806895916545226844,62.0272066768789635190927435795210626672,.076632731328965272719387008484919938704,168.946253061898095112620507643589127044,12-AUG-18
2013,-10200,201301,89,156,59.33133,-173.14486,N-25,17.171,2.987,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1525.29327654254521283695120287507564521,.001525293276542545212836951202875075645,3.36269606241957277826491458318755618552,66.873053382006717106934808726259858254,.102001018705445559970239470506715926284,224.873753289647882071584214768907526074,12-AUG-18
2013,-10199,201301,89,155,58.99929,-173.06505,M-25,16.48,2.834,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1814.00892810182632481065454257651892967,.00181400892810182632481065454257651893,3.99920511912897968526369273087988483152,73.4386882256763471327014608735877574901,.133218436109463364258083761836607047186,293.696377894241973583846847040021899161,12-AUG-18
2013,-10179,201301,162,139,59.00187,-172.43742,M-24,17.785,2.773,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10178,201301,162,138,59.33296,-172.50517,N-24,17.269,2.887,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10177,201301,162,137,59.66665,-172.55111,O-24,17.05,2.725,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10176,201301,162,136,59.66847,-171.8977,O-23,16.948,2.8,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10175,201301,162,135,59.66573,-171.2584,O-22,17.196,2.912,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1564.47671398127422409100216405245624054,.001564476713981274224091002164052456241,3.44908075499879195966255209483844069535,68.4956761298033055244441648579212568821,.107159890313480278211278464846132892242,236.24711833993471748003998107567101957,12-AUG-18
2013,-10174,201301,162,134,59.99825,-171.31289,P-22,17.08,2.787,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10173,201301,162,133,60.00278,-171.96749,P-23,16.893,2.828,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1137.22231572181013261229780995241247977,.00113722231572181013261229780995241248,2.50714604331158086300875401517116586752,71.7952607118433581353501938674397615439,.081647172644573598311407180003453216876,180.001203822221467877409741624154234426,12-AUG-18
2013,-10172,201301,162,132,60.33519,-172.06416,Q-23,16.063,2.749,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,5006.61073774428791846813087090477734635,.005006610737744287918468130870904777346,11.0376872912221668527891965707808523579,310.69950133120756382572753043417572536,.388887864894154866835097746240449885532,857.350984308133609824057819077444489868,12-AUG-18
2013,-10171,201301,162,131,60.66501,-172.10277,R-23,19.39,2.787,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10170,201301,162,130,60.66075,-172.74584,R-24,15.363,2.75,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,8010.20706388989659860841736428733480378,.008010207063889896598608417364287334804,17.659483698744722050472818275215880511,487.107133943614753214645078994872759071,.6503048341977174869342115830117961301,1433.67674856992110152945739761778384992,12-AUG-18
2013,-10165,201301,89,139,59.33712,-171.8354,N-23,17.277,2.997,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10164,201301,89,138,59.33219,-171.16948,N-22,17.296,2.994,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10136,201301,162,129,60.99907,-172.82073,S-24,19.229,2.742,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10135,201301,162,128,60.99801,-172.15678,S-23,16.262,2.756,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10134,201301,162,127,60.98754,-171.48264,S-22,19.667,2.734,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10133,201301,162,126,60.6638,-171.42676,R-22,16.881,2.753,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2013,-10132,201301,162,125,60.326,-171.37834,Q-22,17.411,2.799,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2012,-9046,201201,162,202,60.66947,-174.13049,R-26,17.832,2.711,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2012,-9045,201201,162,201,60.66328,-174.83175,R-27,19.322,2.69,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,2,3372.92908492741137611081185642810001281,.003372929084927411376110811856428100013,7.43603576252274347003302159739925065203,131.979841353182182027104396402641447444,.222579322762126851999021907787302955471,490.703410117170389149056039759233947541,12-AUG-18
1982,4386,198201,19,184,60.99592,-175.56792,S-28,16.703,3.26,St. Matthew Single,16040,40,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,2,3176.97512689251842800204343221973061202,.003176975126892518428002043432219730612,7.00403123379820804973903442658423281506,125.979499486416066946453228640368493882,.20011686818335632220886649365305438951,441.18217461056172135906460496736251267,12-AUG-18
1982,4387,198201,19,185,60.65109,-175.49334,R-28,16.703,3.408,St. Matthew Single,16040,40,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,2722.08142708857546647890928110264414419,.002722081427088575466478909281102644144,6.001162292673938359377813476473035301,60.254279390510032019577101726467325419,.164017054831513289122031084694182330353,361.595709450569217001531438588741217284,12-AUG-18
1982,4388,198201,19,186,60.26034,-175.37367,Q-28,16.703,3.426,St. Matthew Single,16040,40,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
