ParName   Value   Gradient
log_fdev[4](2)      -2.1261   0.00359433
log_fdev[4](3)    -0.655644    0.0213368
log_fdev[4](4)    -0.206955   0.00209034
log_fdev[4](5)      1.13722    0.0155352
log_fdev[4](6)      1.74551  0.000202893
log_fdev[4](7)      1.65991   0.00735672
log_foff[1]     -1.88339     0.114177
log_foff[3]      8.10413    0.0302782
log_fdov[1](1)      2.00813    0.0139757
log_fdov[1](2)     0.329248    0.0525841
log_fdov[1](3)      2.31442    0.0328796
log_fdov[1](4)      2.11317    0.0253709
log_fdov[1](5)     -2.70768  -0.00941543
log_fdov[1](6)    -0.893273    0.0298364
log_fdov[1](7)      2.21721  -0.00119981
log_fdov[1](8)     -2.17194   -0.0110022
log_fdov[1](9)     0.163648   -0.0299331
log_fdov[1](10)      1.08317   -0.0402979
log_fdov[1](11)     -1.80245  -0.00238047
log_fdov[1](12)      1.34058   -0.0135391
log_fdov[1](13)     0.754343   -0.0169019
log_fdov[1](14)      1.01143  -0.00268012
log_fdov[1](15)    -0.942276   0.00103138
log_fdov[1](16)   -0.0930749   -0.0507179
log_fdov[1](17)    -0.403859    0.0519059
log_fdov[1](18)    -0.878553    0.0193758
log_fdov[1](19)    -0.468959    0.0157321
log_fdov[1](20)     -1.28238   0.00825407
log_fdov[1](21)     -1.85967    0.0360975
log_fdov[1](22)    0.0706323    0.0211611
log_fdov[1](23)    -0.538788   -0.0366313
log_fdov[1](24)     0.636931    0.0211227
log_fdov[3](1)      1.91265     0.015958
log_fdov[3](2)       1.8367    0.0140157
log_fdov[3](3)      2.05972    0.0392846
log_fdov[3](4)      1.30567    0.0560107
log_fdov[3](5)     0.565329    0.0452705
log_fdov[3](6)   -0.0176387    0.0425457
log_fdov[3](7)     0.246045    0.0196858
log_fdov[3](8)     0.715014    0.0269756
log_fdov[3](9)       1.1155    0.0121855
log_fdov[3](10)       1.4496   0.00181313
log_fdov[3](11)     0.958276   0.00936512
log_fdov[3](12)      0.82208    0.0109567
log_fdov[3](13)     0.794131   -0.0121481
log_fdov[3](14)     0.784766    0.0044658
log_fdov[3](15)      2.11637   -0.0901292
log_fdov[3](16)      2.23846   -0.0557823
log_fdov[3](17)      1.25436   -0.0744201
log_fdov[3](18)       1.0035   0.00466361
log_fdov[3](19)     0.423762   -0.0153046
log_fdov[3](20)     0.412833  -0.00140084
log_fdov[3](21)     0.375164   -0.0184623
log_fdov[3](22)     0.353712  0.000654172
log_fdov[3](23)     -7.32183   -0.0128866
log_fdov[3](24)     -7.90284    0.0281293
log_fdov[3](25)     -7.50129    0.0199728
rec_dev(1975)      2.70281      11.9546
rec_dev(1976)      2.94448      2.46625
rec_dev(1977)    -0.944406     0.825294
rec_dev(1978)      1.05127      2.22433
rec_dev(1979)      1.18095      1.76154
rec_dev(1980)      1.68006      1.57754
rec_dev(1981)       2.4674      2.37902
rec_dev(1982)      1.64458    -0.147697
rec_dev(1983)      1.68095      -1.3857
rec_dev(1984)    -0.546971    0.0981595
rec_dev(1985)     0.951202     -5.19264
rec_dev(1986)    -0.869491      -1.2355
rec_dev(1987)     -1.20752     -1.45959
rec_dev(1988)     0.254069     -7.91371
rec_dev(1989)     0.434127     -7.23237
rec_dev(1990)    0.0403697     -2.92571
rec_dev(1991)      -1.8175    -0.262366
rec_dev(1992)    -0.314178    -0.599648
rec_dev(1993)     -1.73268   -0.0977726
rec_dev(1994)      1.19092    -0.983653
rec_dev(1995)      -1.9609   -0.0386031
rec_dev(1996)     -1.41452 -0.000245991
rec_dev(1997)     0.057048    -0.371861
rec_dev(1998)     0.863958    -0.323111
rec_dev(1999)    -0.504392     0.318721
rec_dev(2000)    -0.107598    0.0319211
rec_dev(2001)      1.09498    0.0742872
rec_dev(2002)     -0.93913     0.104392
rec_dev(2003)    -0.260717    0.0478624
rec_dev(2004)      1.03619    -0.211283
rec_dev(2005)    -0.146831     0.173398
rec_dev(2006)   -0.0132683       1.4721
rec_dev(2007)    -0.610474     0.930393
rec_dev(2008)    -0.570928     0.706359
rec_dev(2009)     0.566903      1.55203
rec_dev(2010)    -0.347094     0.275698
rec_dev(2011)    -0.500659     0.190355
rec_dev(2012)    -0.899997   -0.0082817
rec_dev(2013)     -2.00335    0.0591638
rec_dev(2014)     -1.18359     0.117878
rec_dev(2015)      -1.5763    0.0504944
rec_dev(2016)     -1.36976     0.132356
logit_rec_prop(1975)      1.81563     -13.5258
logit_rec_prop(1976)     -4.20493      7.15106
logit_rec_prop(1977)    0.0524768      5.67708
logit_rec_prop(1978)     0.138062      9.57902
logit_rec_prop(1979)     0.242658      8.06523
logit_rec_prop(1980)     -1.52301      8.85181
logit_rec_prop(1981)   -0.0664428      16.1286
logit_rec_prop(1982)    -0.568842      2.15371
logit_rec_prop(1983)    -0.794751     -10.2472
logit_rec_prop(1984)     0.116803      1.06962
logit_rec_prop(1985)    -0.755267     -36.2212
logit_rec_prop(1986)    -0.041234     -9.00397
logit_rec_prop(1987)    -0.154283     -10.2557
logit_rec_prop(1988)   -0.0194486     -24.4348
logit_rec_prop(1989)     0.370344     -45.4544
logit_rec_prop(1990)    -0.206521     -11.5428
logit_rec_prop(1991)     0.378609      2.64066
logit_rec_prop(1992)    0.0925625      2.73594
logit_rec_prop(1993)     0.207051      3.51037
logit_rec_prop(1994)    -0.110084      4.73468
logit_rec_prop(1995)     0.905827       3.7145
logit_rec_prop(1996)     0.984213      3.16901
logit_rec_prop(1997)     0.588312      1.55219
logit_rec_prop(1998)     0.352606      5.30149
logit_rec_prop(1999)    0.0965956      3.77654
