#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	"Fishery,"	2	Trawl	"by-catch,"																																			
#	Surveys:	3	NMFS	Trawl	"Survey,"																																					
#========================================================================================================																																										
1976	# Start	year																																								
2018	# End	year																																								
3	# Number of seasons																																									
3	# Number of fleets (fishing fleets and surveys)																																									
1	# Number of sexes																																									
1	# Number of shell condition types																																									
1	# Number of maturity types																																									
35	# Number of size-classes in the	model																																								
3	# Season recruitment occurs																																									
3	# Season molting and growth occurs																																									
3	# Season to calculate SSB																																									
1	# Season for N output																																									
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																																
35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)																										
1																																										
#	Proportion of the total	natural	mortality to be	applied	each	season																																				
0.33 0.33 0.34  #made up; fix soon																																										
1993	1	3	1	3787997	0.4	2																																				
1994	1	3	1	3669755	0.4	2																																				
1995	1	3	1	7693368	0.4	2																																				
1996	1	3	1	683611	0.4	2																																				
1997	1	3	1	3155556	0.4	2																																				
1998	1	3	1	1192015	0.4	2																																				
1999	1	3	1	9102898	0.4	2																																				
2000	1	3	1	1674067	0.4	2																																				
2001	1	3	1	6157584	0.4	2																																				
2002	1	3	1	1910263	0.4	2																																				
2003	1	3	1	1506201	0.4	2																																				
2004	1	3	1	2196795	0.4	2																																				
2005	1	3	1	302997	0.4	2																																				
2006	1	3	1	1459278	0.4	2																																				
2007	1	3	1	1883489	0.4	2																																				
2008	1	3	1	1721467	0.4	2																																				
2009	1	3	1	923133	0.4	2																																				
2010	1	3	1	927825	0.4	2																																				
2011	1	3	1	1052228	0.4	2																																				
2012	1	3	1	1609444	0.4	2																																				
2013	1	3	1	1831377	0.4	2																																				
2014	1	3	1	3036807	0.4	2																																				
2015	1	3	1	3662609	0.4	2																																				
2016	1	3	1	1807323	0.4	2																																				
2017	1	3	1	115838	0.4	2																																				
2018	1	3	1	115838	0.4	2																																				
## Number of length frequency matrices																																										
1																																										
## Number of rows in each matrix																																										
40																																										
##	Number	of	bins	in	each	matrix	(columns	of	size	data)																																
35																																										
##	SIZE COMPOSITION DATA FOR ALL FLEETS																																									
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
