ParName   Value   Gradient
m_dev(2003)   0.00300889     -47.2168
m_dev(2004)   0.00183778      -96.086
m_dev(2005)   0.00259582     -73.8834
m_dev(2006)   0.00159048     -137.185
m_dev(2007)  0.000620622     -202.244
m_dev(2008)  0.000568817     -234.398
m_dev(2009)   0.00253159     -189.384
m_dev(2010)   0.00110116     -307.747
m_dev(2011)   0.00244307     -294.191
m_dev(2012)   0.00366751     -265.052
m_dev(2013)   0.00283812      -323.87
m_dev(2014)   0.00544908     -221.478
m_dev(2015)   0.00730773     -142.348
