ParName   Value   Gradient
rec_dev(1982)      2.25779     -2.50994
rec_dev(1983)      2.32089     -4.55205
rec_dev(1984)    -0.132335      1.22505
rec_dev(1985)      1.54621      -1.0059
rec_dev(1986)    -0.122264      1.51342
rec_dev(1987)    -0.404741      1.58327
rec_dev(1988)     0.428691     0.724287
rec_dev(1989)     0.710972   -0.0666283
rec_dev(1990)    -0.515619      1.22607
rec_dev(1991)     -1.60578      1.61024
rec_dev(1992)    -0.676111     0.985424
rec_dev(1993)     -1.40426       1.3729
rec_dev(1994)     0.699525     -3.60815
rec_dev(1995)     -1.52959      1.38997
rec_dev(1996)     -2.43039      1.67579
rec_dev(1997)    -0.471031     0.537652
rec_dev(1998)     0.451883     -1.44826
rec_dev(1999)     -1.48354      1.37798
rec_dev(2000)     -0.77463     0.843791
rec_dev(2001)     0.715332      -5.1327
rec_dev(2002)     -1.29819     0.777567
rec_dev(2003)     -0.17134     -1.70516
rec_dev(2004)     0.853628     -4.61108
rec_dev(2005)    -0.245142      1.06853
rec_dev(2006)    -0.646266      1.92621
rec_dev(2007)     -1.48812      2.64076
rec_dev(2008)    -0.452701      1.67627
rec_dev(2009)     0.120373      1.00716
rec_dev(2010)    -0.412037      1.57115
rec_dev(2011)    -0.285794      2.08207
rec_dev(2012)      -1.4751      1.82267
rec_dev(2013)     -2.26788       1.9153
rec_dev(2014)     -1.53064      1.92152
m_dev(1)     0.808273      22.6137
m_dev(2)     0.615114      12.7164
m_dev(3)    -0.627275     -11.6535
m_dev(4)    -0.796112     -23.8959
