# Captures																																															
Year, Fleet, Sex, Data																																												
1994	2	3	0	0	0	0	0	0	0	0	0	8	118	126	147	168	151	141	107	106	90	72	53	49	48	48	53	52	49	52	55	71	67	76	71	52	51	29	22	13	5	1	1	0	1	0	0
1995	2	3	0	0	0	0	0	0	0	0	0	0	60	52	51	39	65	45	51	47	45	41	37	58	40	45	49	71	55	67	84	83	115	93	105	103	70	41	24	21	8	2	3	0	1	0	0
1996	2	3	0	0	0	0	0	0	0	0	0	0	4	5	6	4	6	2	5	2	4	1	3	1	3	3	2	1	7	6	9	4	4	2	2	8	4	3	0	0	0	0	0	0	0	0	0
1997	2	3	0	0	0	0	0	0	0	0	0	0	4	4	0	2	3	4	4	3	2	2	2	1	3	1	0	0	0	1	2	2	0	2	4	3	2	0	1	0	0	0	0	0	0	0	0
1998	2	3	0	0	0	0	0	0	0	0	0	8	29	18	31	18	22	19	7	6	10	4	10	8	4	7	8	1	4	1	5	4	5	1	5	6	2	2	3	2	0	0	0	1	0	0	0
1999	2	3	0	0	0	0	0	14	18	10	21	24	44	33	17	16	18	16	11	16	6	2	2	3	5	3	2	2	6	1	2	6	7	7	5	11	8	9	4	2	3	1	0	0	0	0	0
2000	2	3	0	0	0	0	2	17	21	34	38	49	64	74	69	68	64	48	46	40	33	37	29	26	26	26	10	4	6	7	5	7	3	11	10	8	8	7	2	5	2	1	0	0	0	0	0
2001	2	3	0	0	0	0	12	277	236	206	185	164	154	138	139	114	101	74	73	49	51	43	32	27	22	25	18	14	9	8	7	13	18	20	29	25	22	24	18	11	4	2	1	0	0	0	0
2002	2	3	0	0	0	0	0	97	54	18	22	34	290	214	150	114	85	56	69	46	40	25	22	15	19	18	18	16	7	11	13	15	19	38	39	67	70	59	40	32	15	8	3	2	0	0	0
2003	2	3	0	0	0	1	5	64	36	21	23	32	139	170	167	191	154	105	88	62	33	25	18	18	7	14	15	7	2	6	3	18	20	23	25	36	37	21	21	16	9	1	0	1	0	0	0
2004	2	3	0	0	10	15	7	5	6	6	9	18	192	137	90	101	73	68	76	62	43	37	34	16	14	13	9	9	4	7	8	10	18	18	19	29	35	29	19	13	3	3	1	1	0	1	0
2005	2	3	0	1	11	41	32	21	14	15	9	12	198	155	150	157	129	115	68	52	50	40	36	36	20	16	11	9	7	4	9	11	9	8	17	22	28	27	15	13	7	5	0	0	0	0	0
2006	2	3	0	0	0	1	0	2	9	59	115	145	255	218	183	133	107	105	117	109	100	87	76	65	43	37	32	30	21	10	6	8	19	12	23	33	40	39	25	22	7	7	3	0	2	0	0
2007	2	3	0	0	0	0	0	0	0	0	2	1	204	267	296	291	260	254	221	203	182	147	122	94	92	58	56	40	41	19	21	13	13	12	34	25	32	35	23	15	9	2	1	1	3	0	0
2008	2	3	0	0	0	7	10	37	95	140	10	1	290	206	149	168	193	250	250	234	254	216	191	157	154	104	62	68	46	25	23	16	12	14	17	22	22	18	14	17	4	3	1	0	1	0	0
