"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1976,1,1,500.410441927586,0.368240310058002,184.271296291676
1977,1,1,674.026141400927,1.34595263811836,907.207263179316
1978,1,1,1675.98063276318,0.248547908954314,416.561481721217
1979,1,1,1361.19600189054,0.259315185252919,352.978793395777
1980,1,1,1127.05544975889,0.187778378238117,211.636644540156
1981,1,1,943.439020826965,0.203657511967544,192.138443674716
1982,1,1,2149.68959470039,0.201485373179235,433.131010207726
1983,1,1,895.334969402075,0.154586241349223,138.406467668388
1984,1,1,519.399381572881,0.166562107446789,86.5122556013382
1985,1,1,352.777473672835,0.180611625811118,63.7157130695898
1986,1,1,208.527392612014,0.242074629175982,50.4791912395878
1987,1,1,413.496986959686,0.234200399898402,96.841159702743
1988,1,1,443.37196836444,0.211824741517167,93.9171525947548
1989,1,1,1156.13429703613,0.183875712030272,212.585017070136
1990,1,1,842.03873477815,0.201548091740774,169.711300166352
1991,1,1,950.507569744531,0.178200944022386,169.3813462289
1992,1,1,892.096534732751,0.164597718212231,146.837054042049
1993,1,1,1313.43830742998,0.161189239499502,211.712121904152
1994,1,1,869.902099736841,0.171263065816953,148.982100561536
1995,1,1,673.209344594502,0.15022880272493,101.135433821667
1996,1,1,1095.82807113234,0.171689163224421,188.141804570542
1997,1,1,1043.15615601922,0.170469287338072,177.826086498919
1998,1,1,773.265382638842,0.159811281270911,123.576531561955
1999,1,1,251.888483403626,0.200971244140648,50.6223418943276
2000,1,1,230.643256469431,0.199457916538089,46.0036233989528
2001,1,1,334.860147261943,0.236463150937184,79.1820855448487
2002,1,1,152.564896589753,0.247141156834499,37.7050650355272
2003,1,1,237.57581630602,0.236555881882669,56.1999567402656
2004,1,1,207.325463349062,0.222018284018643,46.0300436061287
2005,1,1,258.843130519115,0.305182098087824,78.9942896474438
2006,1,1,515.08206995957,0.180810189304145,93.1320865765605
2007,1,1,899.975962434114,0.156434721537664,140.787489073971
2008,1,1,719.236751389417,0.177484990942155,127.653728305616
2009,1,1,936.64342686824,0.14660761163306,137.319055764957
2010,1,1,1007.04680378051,0.146558208321654,147.59097525812
2011,1,1,844.648227162731,0.166256767713346,140.428484102884
2012,1,1,651.646440542199,0.144007866955575,93.8422139116748
2013,1,1,337.263671670951,0.174109158460859,58.7206940540486
2014,1,1,559.347946761818,0.192877318599396,107.885532135497
2015,1,1,298.265511643822,0.197902121698256,59.0273775837282
2016,1,1,342.20032975072,0.224020054474782,76.6597365120447
2017,1,1,157.508826884567,0.294265396600843,46.3493974113207
